書名	総合評価	戦法	著者	発行年月	難易度
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-8528-8.htm"",""マイナビ将棋BOOKS 反撃する現代四間飛車 はじめ先生と学ぶ新研究"")"	[総合評価]	四間飛車, 振り飛車, 居飛車, 中飛車	鈴木肇中村太地/推薦	2024年1月	★★☆〜★★★★
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-8209-6.htm"",""マイナビ将棋BOOKS 一撃！対振り飛車へなちょこ急戦"")"	[総合評価]	四間飛車, 居飛車, 振り飛車, 三間飛車, 中飛車	Sugar	2024年4月	★★★★☆
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-8604-9.htm"",""2手目△3二銀システム 驚愕の奇襲！ 現代将棋に残された最終兵器"")"	[総合評価]	四間飛車, 居飛車, 振り飛車, 横歩取り, 三間飛車, 中飛車	二歩千金	2024年4月	★★★★
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-7673-6.htm"",""マイナビ将棋BOOKS 早指しのコツ 〜秒読みで負けない感覚と技術〜"")"	B	中飛車, 三間飛車		2021年8月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-7719-1.htm"",""マイナビ将棋BOOKS サザンハヤクリ △3三金型早繰り銀 2手早い銀の進出！ 主導権を握って戦う 後手番角換わりの新機軸"")"	A	角換わり, 中飛車, 居飛車, 横歩取り		2021年7月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-7706-1.htm"",""マイナビ将棋BOOKS 進化する角換わり▲4五桂"")"	A	角換わり		2021年7月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-7560-9.htm"",""マイナビ将棋BOOKS これだけで勝てる 角換わりのコツ"")"	B+	四間飛車, 中飛車, 居飛車, 角換わり, 横歩取り, 三間飛車, 振り飛車		2021年6月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/86137/978-4-86137-052-6.htm"",""最強将棋21 現代調の将棋の研究"")"	S	四間飛車, 中飛車, 居飛車, 角換わり, 横歩取り, 三間飛車, 振り飛車		2021年5月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-7607-1.htm"",""マイナビ将棋BOOKS 対三間飛車 一直線銀冠"")"	A	四間飛車, 振り飛車, 居飛車, 三間飛車		2021年5月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-6425-2.htm"",""マイナビ将棋BOOKS 創始者直伝！新嬉野流 最強奇襲戦法が進化！ 居飛車に加えて 嬉野流振り飛車も収録"")"	B+	四間飛車, 中飛車, 居飛車, 三間飛車, 振り飛車		2021年5月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-7561-6.htm"",""マイナビ将棋BOOKS 先手矢倉の逆襲"")"	A	四間飛車, 横歩取り		2021年4月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-7626-2.htm"",""マイナビ将棋BOOKS 攻める振り飛車 三間飛車トマホーク"")"	A	居飛車, 振り飛車, 三間飛車		2021年4月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-7559-3.htm"",""マイナビ将棋BOOKS 1手ずつ解説する三間飛車"")"	B	四間飛車, 居飛車, 振り飛車, 三間飛車		2021年4月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-7537-1.htm"",""マイナビ将棋BOOKS 完全版 対振り飛車 左美濃戦法"")"	B+	四間飛車, 居飛車, 振り飛車, 三間飛車, 中飛車		2021年2月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-7597-5.htm"",""マイナビ将棋BOOKS 負けない振り飛車！ 四間飛車穴熊のすべて"")"	B+	四間飛車, 居飛車, 振り飛車		2021年3月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-7552-4.htm"",""マイナビ将棋BOOKS 都成流 新型ダイレクト向かい飛車"")"	A	四間飛車, 中飛車, 居飛車, 角換わり, 三間飛車, 振り飛車		2021年3月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-7360-5.htm"",""マイナビ将棋BOOKS 中飛車の逆襲 対三間飛車編"")"	A	振り飛車, 中飛車, 三間飛車		2021年3月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-7472-5.htm"",""マイナビ将棋BOOKS 全戦型対応！よくわかる将棋・囲い事典"")"	B	居飛車, 振り飛車		2021年3月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-7523-4.htm"",""マイナビ将棋BOOKS 横歩取り 後手番の逆襲"")"	A	居飛車, 角換わり, 横歩取り		2021年2月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-7420-6.htm"",""マイナビ将棋BOOKS 居飛車の全戦型に対応 なんでも右玉"")"	A	四間飛車, 居飛車, 角換わり, 横歩取り, 振り飛車		2021年1月	
